,gvkey,pred_vol,year,month
0,1045,0.019530267108601798,2014,1
1,1045,0.022656277275845647,2015,1
2,1045,0.02343284357253163,2016,1
3,1045,0.022647457914741778,2017,1
4,1045,0.02101950341491263,2018,1
5,1045,0.025233155626222074,2019,1
6,1045,0.022386337244803923,2020,1
7,1045,0.021340788665594468,2014,10
8,1045,0.02410964254476543,2015,10
9,1045,0.02353025306969327,2016,10
10,1045,0.021824251523144034,2017,10
11,1045,0.02193669944655977,2018,10
12,1045,0.022571597196476816,2019,10
13,1045,0.03186687579175707,2020,10
14,1045,0.02487589617534041,2014,11
15,1045,0.02410363561788968,2015,11
16,1045,0.02302023023342729,2016,11
17,1045,0.02237324826875253,2017,11
18,1045,0.02521732964224631,2018,11
19,1045,0.022825367466921535,2019,11
20,1045,0.03211769839200811,2020,11
21,1045,0.026708923432236856,2014,12
22,1045,0.02347574860845278,2015,12
23,1045,0.022458401758001605,2016,12
24,1045,0.021381507196640743,2017,12
25,1045,0.02312635771263239,2018,12
26,1045,0.02213853675209384,2019,12
27,1045,0.04379242877692237,2020,12
28,1045,0.02320318943593747,2014,2
29,1045,0.02842929363952093,2015,2
30,1045,0.023880844834301824,2016,2
31,1045,0.024550387498281763,2017,2
32,1045,0.02260080925425832,2018,2
33,1045,0.02450178296412432,2019,2
34,1045,0.024657140526577054,2020,2
35,1045,0.02025137855389932,2014,3
36,1045,0.024196593486762476,2015,3
37,1045,0.023448620816197658,2016,3
38,1045,0.02214297808021472,2017,3
39,1045,0.021816000026193095,2018,3
40,1045,0.022068278246431112,2019,3
41,1045,0.030958961839535545,2020,3
42,1045,0.02008894507647712,2014,4
43,1045,0.023798654423747418,2015,4
44,1045,0.02319077094757432,2016,4
45,1045,0.022390076514290643,2017,4
46,1045,0.02177405183546079,2018,4
47,1045,0.022527391792046877,2019,4
48,1045,0.10552336031149012,2020,4
49,1045,0.02212573162632142,2014,5
50,1045,0.024193981689668197,2015,5
51,1045,0.023670094654487144,2016,5
52,1045,0.023779230815604995,2017,5
53,1045,0.023548775301102564,2018,5
54,1045,0.022121232087994307,2019,5
55,1045,0.05232421380202477,2020,5
56,1045,0.019587042607173706,2014,6
57,1045,0.02429630817447562,2015,6
58,1045,0.0229074154329593,2016,6
59,1045,0.022533176550467656,2017,6
60,1045,0.021964369415248954,2018,6
61,1045,0.022787517416340025,2019,6
62,1045,0.05759989228209625,2020,6
63,1045,0.01994101757228507,2014,7
64,1045,0.02420151291288888,2015,7
65,1045,0.02535543925866795,2016,7
66,1045,0.021761567039163335,2017,7
67,1045,0.021627135732685453,2018,7
68,1045,0.022659061001165638,2019,7
69,1045,0.06501853127448289,2020,7
70,1045,0.021622698611368917,2014,8
71,1045,0.024152826907404598,2015,8
72,1045,0.024157958451030977,2016,8
73,1045,0.021757798202223854,2017,8
74,1045,0.022329389874645326,2018,8
75,1045,0.023901986414217848,2019,8
